ayah_key,surah_number,ayah_number,script_type,display_text,source_name,source_reference,source_checksum,audit_status,source_match_status,review_status
36:1,36,1,INDOPAK,"يٰس࢜ ۝١ۚ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:2,36,2,UTHMANI,"وَٱلْقُرْءَانِ ٱلْحَكِيمِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
36:2,36,2,INDOPAK,"وَالْقُرْاٰنِ الْحَكِيْمِ ۝٢ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:3,36,3,UTHMANI,"إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
36:3,36,3,INDOPAK,"اِنَّكَ لَمِنَ الْمُرْسَلِيْنَ ۝٣ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:4,36,4,UTHMANI,"عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
36:4,36,4,INDOPAK,"عَلٰي صِرَاطٍ مُّسْتَقِيْمٍ ۝٤ؕ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:5,36,5,UTHMANI,"تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
36:5,36,5,INDOPAK,"تَنْزِيْلَ الْعَزِيْزِ الرَّحِيْمِ ۝٥ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
36:6,36,6,UTHMANI,"لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
