ayahKey,surahNumber,ayahNumber,surahNameSimple,scriptType,displayText,sourceName,sourceReference,sourceChecksum,reviewerDecision,reviewerNotes
33:71,33,71,Al-Ahzab,UTHMANI,"يُصْلِحْ لَكُمْ أَعْمَـٰلَكُمْ وَيَغْفِرْ لَكُمْ ذُنُوبَكُمْ ۗ وَمَن يُطِعِ ٱللَّهَ وَرَسُولَهُۥ فَقَدْ فَازَ فَوْزًا عَظِيمًا","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:1,36,1,Ya-Sin,UTHMANI,"يسٓ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:2,36,2,Ya-Sin,UTHMANI,"وَٱلْقُرْءَانِ ٱلْحَكِيمِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:3,36,3,Ya-Sin,UTHMANI,"إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:4,36,4,Ya-Sin,UTHMANI,"عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:5,36,5,Ya-Sin,UTHMANI,"تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:6,36,6,Ya-Sin,UTHMANI,"لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:7,36,7,Ya-Sin,UTHMANI,"لَقَدْ حَقَّ ٱلْقَوْلُ عَلَىٰٓ أَكْثَرِهِمْ فَهُمْ لَا يُؤْمِنُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:8,36,8,Ya-Sin,UTHMANI,"إِنَّا جَعَلْنَا فِىٓ أَعْنَـٰقِهِمْ أَغْلَـٰلًا فَهِىَ إِلَى ٱلْأَذْقَانِ فَهُم مُّقْمَحُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:9,36,9,Ya-Sin,UTHMANI,"وَجَعَلْنَا مِنۢ بَيْنِ أَيْدِيهِمْ سَدًّا وَمِنْ خَلْفِهِمْ سَدًّا فَأَغْشَيْنَـٰهُمْ فَهُمْ لَا يُبْصِرُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:10,36,10,Ya-Sin,UTHMANI,"وَسَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:11,36,11,Ya-Sin,UTHMANI,"إِنَّمَا تُنذِرُ مَنِ ٱتَّبَعَ ٱلذِّكْرَ وَخَشِىَ ٱلرَّحْمَـٰنَ بِٱلْغَيْبِ ۖ فَبَشِّرْهُ بِمَغْفِرَةٍ وَأَجْرٍ كَرِيمٍ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:12,36,12,Ya-Sin,UTHMANI,"إِنَّا نَحْنُ نُحْىِ ٱلْمَوْتَىٰ وَنَكْتُبُ مَا قَدَّمُوا۟ وَءَاثَـٰرَهُمْ ۚ وَكُلَّ شَىْءٍ أَحْصَيْنَـٰهُ فِىٓ إِمَامٍ مُّبِينٍ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
36:26,36,26,Ya-Sin,UTHMANI,"قِيلَ ٱدْخُلِ ٱلْجَنَّةَ ۖ قَالَ يَـٰلَيْتَ قَوْمِى يَعْلَمُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
37:66,37,66,As-Saffat,UTHMANI,"فَإِنَّهُمْ لَـَٔاكِلُونَ مِنْهَا فَمَالِـُٔونَ مِنْهَا ٱلْبُطُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
37:141,37,141,As-Saffat,UTHMANI,"فَسَاهَمَ فَكَانَ مِنَ ٱلْمُدْحَضِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
37:150,37,150,As-Saffat,UTHMANI,"أَمْ خَلَقْنَا ٱلْمَلَـٰٓئِكَةَ إِنَـٰثًا وَهُمْ شَـٰهِدُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
38:74,38,74,Sad,UTHMANI,"إِلَّآ إِبْلِيسَ ٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَـٰفِرِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
40:30,40,30,Ghafir,UTHMANI,"وَقَالَ ٱلَّذِىٓ ءَامَنَ يَـٰقَوْمِ إِنِّىٓ أَخَافُ عَلَيْكُم مِّثْلَ يَوْمِ ٱلْأَحْزَابِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
47:25,47,25,Muhammad,UTHMANI,"إِنَّ ٱلَّذِينَ ٱرْتَدُّوا۟ عَلَىٰٓ أَدْبَـٰرِهِم مِّنۢ بَعْدِ مَا تَبَيَّنَ لَهُمُ ٱلْهُدَى ۙ ٱلشَّيْطَـٰنُ سَوَّلَ لَهُمْ وَأَمْلَىٰ لَهُمْ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
48:2,48,2,Al-Fath,UTHMANI,"لِّيَغْفِرَ لَكَ ٱللَّهُ مَا تَقَدَّمَ مِن ذَنۢبِكَ وَمَا تَأَخَّرَ وَيُتِمَّ نِعْمَتَهُۥ عَلَيْكَ وَيَهْدِيَكَ صِرَٰطًا مُّسْتَقِيمًا","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
50:4,50,4,Qaf,UTHMANI,"قَدْ عَلِمْنَا مَا تَنقُصُ ٱلْأَرْضُ مِنْهُمْ ۖ وَعِندَنَا كِتَـٰبٌ حَفِيظٌۢ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
53:10,53,10,An-Najm,UTHMANI,"فَأَوْحَىٰٓ إِلَىٰ عَبْدِهِۦ مَآ أَوْحَىٰ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:1,55,1,Ar-Rahman,UTHMANI,"ٱلرَّحْمَـٰنُ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:2,55,2,Ar-Rahman,UTHMANI,"عَلَّمَ ٱلْقُرْءَانَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:3,55,3,Ar-Rahman,UTHMANI,"خَلَقَ ٱلْإِنسَـٰنَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:4,55,4,Ar-Rahman,UTHMANI,"عَلَّمَهُ ٱلْبَيَانَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:5,55,5,Ar-Rahman,UTHMANI,"ٱلشَّمْسُ وَٱلْقَمَرُ بِحُسْبَانٍ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:6,55,6,Ar-Rahman,UTHMANI,"وَٱلنَّجْمُ وَٱلشَّجَرُ يَسْجُدَانِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:7,55,7,Ar-Rahman,UTHMANI,"وَٱلسَّمَآءَ رَفَعَهَا وَوَضَعَ ٱلْمِيزَانَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:8,55,8,Ar-Rahman,UTHMANI,"أَلَّا تَطْغَوْا۟ فِى ٱلْمِيزَانِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:9,55,9,Ar-Rahman,UTHMANI,"وَأَقِيمُوا۟ ٱلْوَزْنَ بِٱلْقِسْطِ وَلَا تُخْسِرُوا۟ ٱلْمِيزَانَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:10,55,10,Ar-Rahman,UTHMANI,"وَٱلْأَرْضَ وَضَعَهَا لِلْأَنَامِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:11,55,11,Ar-Rahman,UTHMANI,"فِيهَا فَـٰكِهَةٌ وَٱلنَّخْلُ ذَاتُ ٱلْأَكْمَامِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:12,55,12,Ar-Rahman,UTHMANI,"وَٱلْحَبُّ ذُو ٱلْعَصْفِ وَٱلرَّيْحَانُ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
55:13,55,13,Ar-Rahman,UTHMANI,"فَبِأَىِّ ءَالَآءِ رَبِّكُمَا تُكَذِّبَانِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
56:72,56,72,"Al-Waqi'ah",UTHMANI,"ءَأَنتُمْ أَنشَأْتُمْ شَجَرَتَهَآ أَمْ نَحْنُ ٱلْمُنشِـُٔونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
58:14,58,14,Al-Mujadila,UTHMANI,"أَلَمْ تَرَ إِلَى ٱلَّذِينَ تَوَلَّوْا۟ قَوْمًا غَضِبَ ٱللَّهُ عَلَيْهِم مَّا هُم مِّنكُمْ وَلَا مِنْهُمْ وَيَحْلِفُونَ عَلَى ٱلْكَذِبِ وَهُمْ يَعْلَمُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
67:1,67,1,Al-Mulk,UTHMANI,"تَبَـٰرَكَ ٱلَّذِى بِيَدِهِ ٱلْمُلْكُ وَهُوَ عَلَىٰ كُلِّ شَىْءٍ قَدِيرٌ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
67:2,67,2,Al-Mulk,UTHMANI,"ٱلَّذِى خَلَقَ ٱلْمَوْتَ وَٱلْحَيَوٰةَ لِيَبْلُوَكُمْ أَيُّكُمْ أَحْسَنُ عَمَلًا ۚ وَهُوَ ٱلْعَزِيزُ ٱلْغَفُورُ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
67:3,67,3,Al-Mulk,UTHMANI,"ٱلَّذِى خَلَقَ سَبْعَ سَمَـٰوَٰتٍ طِبَاقًا ۖ مَّا تَرَىٰ فِى خَلْقِ ٱلرَّحْمَـٰنِ مِن تَفَـٰوُتٍ ۖ فَٱرْجِعِ ٱلْبَصَرَ هَلْ تَرَىٰ مِن فُطُورٍ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
67:4,67,4,Al-Mulk,UTHMANI,"ثُمَّ ٱرْجِعِ ٱلْبَصَرَ كَرَّتَيْنِ يَنقَلِبْ إِلَيْكَ ٱلْبَصَرُ خَاسِئًا وَهُوَ حَسِيرٌ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
67:5,67,5,Al-Mulk,UTHMANI,"وَلَقَدْ زَيَّنَّا ٱلسَّمَآءَ ٱلدُّنْيَا بِمَصَـٰبِيحَ وَجَعَلْنَـٰهَا رُجُومًا لِّلشَّيَـٰطِينِ ۖ وَأَعْتَدْنَا لَهُمْ عَذَابَ ٱلسَّعِيرِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
